"Welcome! This is a list of the sources of instruments used in game music. Message me on Discord or comment if you have any criticism/suggestions, or request access if you want to edit the list.",,,,,,,,
"The sources on this page were gathered by G-Boy/NintendoGurkan, Hexagon12/GDhex12, Mathew Valente/TSSF, SynaMax/Max Petrosky, Elite, Chillius, midiman, ephemeralmu, Benjamin, Xane123, MtH, starerik, Blue Falcon, felineki, baggagelizard, punk7890/punk7890-2, Can of Nothing/0minus0, the editors of DEAD VGM Sound Sources, BlueTronic/Jammin' Sam Miller, peronmls/Miles, bocaj517, Nisto, crissxcr0ss, Python Blue, Enclave123, F0nkyNinja, koolaid, Skull/Adel Almas, Vera, Super Spindash, witapepsi, Ghignarda, Spinny, CM30, nford4947, KeiTaRo, drdevilfx, AceKombat, GBP/GarageBandPoke, the editors of The UNDERTALE Music Sample List, gameonion, rebooter23, thisisausername/recordreader, michael01011/michael020022, the editors of NEWER VGM Sound Sources, dutch menneer, XaikuTheMaverickHunter, Gazpacho/calcobrena, PokemonMusic, OzoneOne, Mr. Miles/dumperghost, DatExpandingFuto, amphobius, Patty Rack/PattehRose, ScrewStache, Jack L, Nico_, Sir Ulrich Von Fappenburger™/Linus Olsson, bun, the editor(s) of Patteh's Spreadsheet of Snuff, !bruh!/toastedfoxx, Nuclear/NUKELEDGE, Pinci, AHammockdream, Remi, Waf (Kurzweil K2500)/Waffles, Nesufire, Collision Chaos Radio, d-soup, Aqua (MIDI), Irikachana, WhiteVII, Xerxes, the editors of Pokémon Sound Sources (Detailed), OrangeExecutions, kabulent, Shushy Bushy, codeman38, daypeecone, Mudstep and Milon. The first six listed are the ones who have added findings to and edited this sheet.",,,,,,,,
"Rules: Please give credit if you repost a finding from this sheet. Add the instruments in the games' chronological order. Write the first or the oldest console that the game was released on only. No SFX. If a sample overlaps between multiple sources, write the source that the composers are confirmed to have, and write the oldest source that the sample appears in if the composers aren't confirmed to own any of them. If a sample overlaps between multiple sources that the composers are confirmed to have, and one isn't more likely than the other, write the oldest one.",,,,,,,,
Sample,No.,Source,Date,Game,Date,Console,Music,Composer(s)
"0:14/Speech (Male) ~ ""Three . . .""",67,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Collision Chaos,Masafumi Ogata
"0:15/Speech (Male) ~ ""Two . . .""",67,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Collision Chaos,Masafumi Ogata
"0:16/Speech (Male) ~ ""One . . .""",67,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Collision Chaos,Masafumi Ogata
"0:17/Speech (Male) ~ ""...Kick it!""",67,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Collision Chaos,Masafumi Ogata
0:08/Guitar Breaks ~ Break 3 (bar A),73,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Boss!!,Naofumi Hataya
0:25/Guitar Breaks ~ Break 6 (2 bars),73,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,"Stardust Speedway, Stardust Speedway - ""B"" mix",Naofumi Hataya
0:25/Stabs ~ Scratch stab 3,75,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Wacky Workbench,Masafumi Ogata
"0:11/Vocal (Female) ~ ""I've got the power!""",83,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,"Stardust Speedway - ""B"" mix",Naofumi Hataya
"0:16/Vocal adlib (Male) ~ ""Ay-hey-yeah!""",91,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,"Stardust Speedway, Stardust Speedway - ""G"" mix, Stardust Speedway - ""P"" mix, Stardust Speedway - ""B"" mix",Naofumi Hataya
Misc. house/tekno FX ~ FX hits Nos. 1-7,94,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Game Over,Masafumi Ogata
0:52/Misc. house/tekno FX - Scratch pair,94,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Wacky Workbench,Masafumi Ogata
1:01/Misc. house/tekno FX ~ Spaghetti-western mega-ricochet,94,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Game Over,Masafumi Ogata
"0:06/Sci-fi speech ~ "". . . four . . .""",95,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Invincible,Masafumi Ogata
"0:06/Sci-fi speech ~ "". . . three . . .""",95,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Invincible,Masafumi Ogata
"0:06/Sci-fi speech ~ "". . . two . . .""",95,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Invincible,Masafumi Ogata
"0:06/Sci-fi speech ~ "". . . one . . .""",95,Zero-G Datafile Two,1991,Sonic CD (PAL/JP),1993,Sega CD,Invincible,Masafumi Ogata
Living Calliope,6,Roland D-550,1987,Sonic CD (PAL/JP),1993,Sega CD,"Metallic Madness - ""G"" mix",Naofumi Hataya
D-Piano+-1,1:11,Roland D-70,1990,Sonic CD (PAL/JP),1993,Sega CD,"Palmtree Panic - ""G"" mix, Stardust Speedway - ""B"" mix, Quartz Quadrant - ""P"" mix",Naofumi Hataya
Grandioso,1:12,Roland D-70,1990,Sonic CD (PAL/JP),1993,Sega CD,Cosmic Eternity - Believe in Yourself,Naofumi Hataya
Stirrings,1:21,Roland D-70,1990,Sonic CD (PAL/JP),1993,Sega CD,"Palmtree Panic - ""P"" mix, Palmtree Panic - ""G"" mix",Naofumi Hataya
SweepSpace,1:65,Roland D-70,1990,Sonic CD (PAL/JP),1993,Sega CD,"Stardust Speedway - ""B"" mix",Naofumi Hataya
Fantasia 90's,16,Roland JD-800,1991,Sonic CD (PAL/JP),1993,Sega CD,"Metallic Madness - ""P"" mix",Naofumi Hataya
Mother Afrika!,18,Roland JD-800,1991,Sonic CD (PAL/JP),1993,Sega CD,"Quartz Quadrant - ""P"" mix",Naofumi Hataya
Harlequin,48,Roland JD-800,1991,Sonic CD (PAL/JP),1993,Sega CD,"Quartz Quadrant - ""P"" mix, Metallic Madness - ""G"" mix",Naofumi Hataya
Nylon Str,58,Roland JD-800,1991,Sonic CD (PAL/JP),1993,Sega CD,"Quartz Quadrant, Quartz Quadrant - ""G"" mix",Naofumi Hataya
Disco + Old School - 0:36,1-02,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Metallic Madness - ""G"" mix",Naofumi Hataya
Hiphop + Old School - 0:23/Breath Loop,1-03,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Tidal Tempest - ""G"" mix",Masafumi Ogata
Tekno/House - Getting Vocal,1-09,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Quartz Quadrant - ""B"" mix",Naofumi Hataya
Clonk - 0:29/Adrenalin,1-11,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Quartz Quadrant - ""B"" mix",Naofumi Hataya
TR909 Various - 0:08/Crash,1-40,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Metallic Madness - ""B"" mix",Naofumi Hataya
R8 Hihat - 0:15/808 Closed HH,1-55,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,Stardust Speedway,Naofumi Hataya
R8 Hihat - 0:16/808 Open HH,1-55,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,Stardust Speedway,Naofumi Hataya
Dis Is HiFi - 0:19/In the mix,2-07,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Wacky Workbench - ""B"" mix",Masafumi Ogata
Bassline Loops - 0:15/303 Loop 4,2-09,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Metallic Madness - ""B"" mix",Naofumi Hataya
Fat Bass 1 - 0:20/Fat Pro 3,2-14,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Stardust Speedway - ""P"" mix",Naofumi Hataya
Hits & Chords - Chord 1,2-18,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Metallic Madness - ""B"" mix",Naofumi Hataya
Hits & Chords - 0:01/Chord 2,2-18,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Tidal Tempest - ""B"" mix",Masafumi Ogata
Hits & Chords - 0:08/Hit 7,2-18,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Metallic Madness - ""P"" mix",Naofumi Hataya
Hits & Chords - 0:14/Fluffy Chord,2-18,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Metallic Madness - ""P"" mix",Naofumi Hataya
Rave Buzz - 0:11/Rave Buzz,2-19,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Tidal Tempest - ""B"" mix",Masafumi Ogata
Chord 2 - 0:15/Chord 32,2-22,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Wacky Workbench - ""B"" mix",Masafumi Ogata
Science Fiction 1 - 0:23/Passing Asteroid,2-29,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,Special Stage,Masafumi Ogata
Far Out - 0:39/Sylvain,2-41,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,Special Stage,Masafumi Ogata
Robot 5 - 0:14/...Perfect Techno,2-53,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Wacky Workbench - ""G"" mix",Masafumi Ogata
Vocoder - 0:15/...Turns Me On,2-56,Polestar Magnetics The X-Static Goldmine,1992,Sonic CD (PAL/JP),1993,Sega CD,"Wacky Workbench - ""B"" mix",Masafumi Ogata
Partition C - VOLUME 005 - HITS + EFX 1,None,East☆West ProSamples 5 Dance/Industrial,1992,Sonic CD (PAL/JP),1993,Sega CD,Stardust Speedway,Naofumi Hataya
Partition C - VOLUME 006 - HITS + EFX 2,None,East☆West ProSamples 5 Dance/Industrial,1992,Sonic CD (PAL/JP),1993,Sega CD,"Stardust Speedway, Stardust Speedway - ""P"" mix",Naofumi Hataya
4:04,None,Naoya Matsuoka - One Last Farewell,N/A,Sonic CD (PAL/JP),1993,Sega CD,"Palmtree Panic - ""B"" mix",Naofumi Hataya
Timpani,371,E-MU Proteus MPS Plus Orchestral,1991,Sonic CD (PAL/JP),1993,Sega CD,"Collision Chaos - ""P"" mix",Masafumi Ogata
"CHILDREN: SCHOOLYARD, PLAYING AND YELLING, AMBIENCE, PLAYGROUND",08-10-1,Sound Ideas Series 2000,1987,Sonic CD (PAL/JP),1993,Sega CD,"Palmtree Panic - ""P"" mix",Naofumi Hataya
Pop Shot,Snr/71,Alesis D4,1991,Sonic CD (US),1993,Sega CD,Quartz Quadrant,"Spencer Nilsen, David Young, Mark Crew"
Woodwind #2 - Oboe 1,None,Roland Sound Library L-CD1,1987,Breath of Fire,1993,SNES,Breath of Fire,"Bun Bun, Mari, Ojarin, Pii♪"
Organ 2,18,Roland Sound Canvas,1991,Bubsy in Claws Encounters of the Furred Kind,1993,SNES,"War of the Woolies, Hill Stream Blues",Matt Berardo
Synth Bass 1,39,Roland Sound Canvas,1991,Bubsy in Claws Encounters of the Furred Kind,1993,SNES,War of the Woolies,Matt Berardo
Brass 1,62,Roland Sound Canvas,1991,Bubsy in Claws Encounters of the Furred Kind,1993,SNES,War of the Woolies,Matt Berardo
Tenor Sax,67,Roland Sound Canvas,1991,Bubsy in Claws Encounters of the Furred Kind,1993,SNES,"War of the Woolies, Hill Stream Blues",Matt Berardo
Woodwind #2 - Oboe 1,None,Roland Sound Library L-CD1,1987,Disney's Aladdin,1993,SNES,Salaam and Good Evening,"Yuki Iwai, Yuko Takehara, Setsuo Yamamoto"
Slap Bass,M01 46,Korg M1,1988,Mega Man X,1993,SNES,"Stage Select 1, Flame Mammoth, Launch Octopus",Setsuo
Total Kit,A09,Korg 01/W,1991,Mega Man X,1993,SNES,"Opening Stage, Vile 2, Stage Select 1, Stage Start, Launch Octopus Stage, Chill Penguin Stage, Boomer Kuwanger Stage, Armored Armadillo Stage","Setsuo, Yuko, Kirry, Sato, Tomozou"
Electric Guitar #1  US - Rock Lead1,None,Roland Sound Library L-CD1,1987,Mega Man X,1993,SNES,"Title, Opening Stage, Zero, Stage Select 1, Flame Mammoth Stage, Storm Eagle Stage",Setsuo & Tomozou
S-50 System #5 Sound Effect - Medley,None,Roland Sound Library L-CD1,1987,Mega Man X,1993,SNES,"Title, Launch Octopus Stage, Boomer Kuwanger Stage, Boss 1, Boss 2",Setsuo & Yuko
MiniMoogBass,8,E-MU Proteus/1,1989,Mega Man X,1993,SNES,"Pass Word, Boomer Kuwanger Stage",Kirry & Yuko
OUCH SNARE,17,Roland R-8,1989,Secret of Mana,1993,SNES,N/A,"Hiroki Kikuta, Minoru Akao, Yasunori Mitsuda, Kenji Ito"
Woodwinds #1 JP - Steamer 1,None,Roland Sound Library L-CD1,1987,Pop'n TwinBee,1993,SNES,We Did It! part1,(Too many to count)
Slap,Patch I17,Roland JV-80,1992,Pop'n TwinBee,1993,SNES,"Seafloor Stroll, Mecha Boss Fellow's Theme",(Too many to count)
Fantasia JV,Patch I44,Roland JV-80,1992,Pop'n TwinBee,1993,SNES,Seafloor Stroll (Stage 2 BGM),Akezou Akena & Kenichi Mitsuda
Oboe,26,E-MU Proteus/2 Orchestral,1990,Pop'n TwinBee,1993,SNES,Colours (Stage 6 BGM),Kenichi Mitsuda
English Horn,27,E-MU Proteus/2 Orchestral,1990,Pop'n TwinBee,1993,SNES,Colours (Stage 6 BGM),Kenichi Mitsuda
Section Horns,38,E-MU Proteus/2 Orchestral,1990,Pop'n TwinBee,1993,SNES,Courageous Advance,(Too many to count)
Timpani,50,E-MU Proteus/2 Orchestral,1990,Pop'n TwinBee,1993,SNES,Colours (Stage 6 BGM),Kenichi Mitsuda
Harp,60,E-MU Proteus/2 Orchestral,1990,Pop'n TwinBee,1993,SNES,Colours (Stage 6 BGM),Kenichi Mitsuda
N/A (Piano),N/A,N/A (Yamaha Product),N/A,Pop'n TwinBee,1993,SNES,Seafloor Stroll (Stage 2 BGM),Akezou Akena & Kenichi Mitsuda
Harp,A57,Korg 01/W,1991,Pop'n TwinBee,1993,SNES,"Hey, You Did Your Best!",(Too many to count)
Partition L - S.W.M # 2 - SOLINA 1,None,Akai Sound Library Volume 2,1989,Pop'n TwinBee,1993,SNES,Seafloor Stroll,(Too many to count)
Partition L - S.W.M # 3 - SYNTH BASS 1,None,Akai Sound Library Volume 2,1989,Pop'n TwinBee,1993,SNES,Taken Along by the Wind (Twin memories),(Too many to count)
HITS,53,Akai XR10,1990,Pop'n TwinBee,1993,SNES,"Madoka SOS!!, A Dedicated Cannon Fellow Blasts Into the Sky, Mecha Boss Fellow's Theme, Gramps' Ultimate Weapon",(Too many to count)
TIMBALES H,62,Akai XR10,1990,Pop'n TwinBee,1993,SNES,We Did It! part1,(Too many to count)
Piano,I001,E-MU Proteus/1,1989,Super Street Fighter II,1993,Arcade,"Dee Jay Stage, Cammy Stage, T. Hawk Stage",Syun & Oyaji
G&L Precision Bass - G&L Bass 3,None,Roland Sound Library L-CD1,1987,Super Street Fighter II,1993,Arcade,Blanka Stage,Syun & Oyaji
Indian Strings #1 - Sitar 1,None,Roland Sound Library L-CD1,1987,Super Street Fighter II,1993,Arcade,"Blanka Stage, Dhalsim Stage",Syun & Oyaji
Indian Strings #2 - Santur 1,None,Roland Sound Library L-CD1,1987,Super Street Fighter II,1993,Arcade,"Blanka Stage, Zangief Stage",Syun & Oyaji
Taiko #1 - Hyoshigi,None,Roland Sound Library L-CD1,1987,Super Street Fighter II,1993,Arcade,"Ryu Stage, E. Honda Stage",Syun & Oyaji
Vibraphone,P-11,Roland U-110,1988,Super Street Fighter II,1993,Arcade,"Player Select, Balrog Stage",Syun & Oyaji
Soft Tp,P-36,Roland U-110,1988,Super Street Fighter II,1993,Arcade,"Ken Stage, Sagat Stage",Syun & Oyaji
Flute,P-46,Roland U-110,1988,Super Street Fighter II,1993,Arcade,"Dhalsim Stage, T. Hawk Stage, Chun Li Stage",Syun & Oyaji
Shakuhachi,P-48,Roland U-110,1988,Super Street Fighter II,1993,Arcade,E. Honda Stage,Syun & Oyaji
SYN BASS 7,8,Roland SN-U110-09 Guitar & Keyboards,1989,Super Street Fighter II,1993,Arcade,"Player Select, Ryu Stage, Dee Jay Stage, Chun Li Stage, Zangief Stage, Vega Stage",Syun & Oyaji
JP.BRASS 1,13,Roland SN-U110-09 Guitar & Keyboards,1989,Super Street Fighter II,1993,Arcade,"Zangief Stage, Cammy Stage",Syun & Oyaji
Fusion Solo,44,Roland JD-800,1991,Super Street Fighter II,1993,Arcade,Dee Jay Stage,Syun & Oyaji
Slap Bass,M01 46,Korg M1,1988,Super Street Fighter II,1993,Arcade,Guile Stage,Syun & Oyaji
Bellsynth1,M02 28,Korg M1,1988,Super Street Fighter II,1993,Arcade,Balrog Stage,Syun & Oyaji
Electric Bass #1  JP - Picked Bass2,None,Roland Sound Library L-CD1,1987,Daytona USA,1993,Arcade,Let's Go Away,Takenobu Mitsuyoshi
Midi Stack  #1 - Strings 2,None,Roland Sound Library L-CD1,1987,Daytona USA,1993,Arcade,Let's Go Away,Takenobu Mitsuyoshi
SLAP HIGH CONGA,54,Roland R-8,1989,Daytona USA,1993,Arcade,Let's Go Away,Takenobu Mitsuyoshi
Partition C - VOLUME 006 - HITS + EFX 2,None,East☆West ProSamples 5 Dance/Industrial,1992,Daytona USA,1993,Arcade,Let's Go Away,Takenobu Mitsuyoshi
Partition F - 3057 JOHNS G - DIRT GR 2,None,Akai Sound Library Volume 1,N/A,Daytona USA,1993,Arcade,Start Your Engines,Takenobu Mitsuyoshi
Partition F - 3057 JOHNS G - DIRT GR SW,None,Akai Sound Library Volume 1,N/A,Daytona USA,1993,Arcade,Start Your Engines,Takenobu Mitsuyoshi
Partition A - 1017 G.PF#3 - RADICAL PF,None,Akai Sound Library Volume 2,1988,Daytona USA,1993,Arcade,Let's Go Away,Takenobu Mitsuyoshi
N/A (Drum Kit),N/A,N/A (Korg Product),N/A,Link: The Faces of Evil,1993,CDI,N/A,Tony Trippi & William Havlicek
N/A (Drum Kit),N/A,N/A (Korg Product),N/A,Zelda: The Wand of Gamelon,1993,CDI,N/A,Tony Trippi & William Havlicek
Slap,Patch I17,Roland JV-80,1992,"Go for it, Goemon! 2: The Odd General McGuiness",1993,SNES,You're Out of Luck Meeting Me Here (Mid-Boss Battle Time),"Piston Uehara, Tomii, Akezo Akena"
Woody Bass 1,Patch A51,Roland JV-80,1992,"Go for it, Goemon! 2: The Odd General McGuiness",1993,SNES,"Tranquility City (Town 1), Kibi Pass (Area 2-3)","Piston Uehara, Tomii, Akezo Akena"
SL506 Strings #1 - STRINGS 1,None,Akai Sound Library for S900/S950,1987,"Go for it, Goemon! 2: The Odd General McGuiness",1993,SNES,"Having Started the Vacation (Opening 1), Strike of the Mecha Army Corps! (Mecha Boss Battle Time)","Piston Uehara, Tomii, Akezo Akena"
Partition L - S.W.M # 3 - MARIMBA,None,Akai Sound Library Volume 2,N/A,"Go for it, Goemon! 2: The Odd General McGuiness",1993,SNES,Returning from the Summer Vacation (Area 1-1 Ryukyu Resort),"Piston Uehara, Tomii, Akezo Akena"
N/A (Tsuzumi),N/A,N/A (Akai Product),N/A,"Go for it, Goemon! 2: The Odd General McGuiness",1993,SNES,Returning from the Summer Vacation (Area 1-1 Ryukyu Resort),"Piston Uehara, Tomii, Akezo Akena"
Synthesizer #1  US - JX-10 SynBow,None,Roland Sound Library L-CD1,1987,Star Fox,1993,SNES,BGM (CORNERIA),Hajime Hirasawa
N/A,None,Roland Sound Library L-CD1,1987,Star Fox,1993,SNES,N/A,Hajime Hirasawa
S-50 System #2 Strings & Choir - Strings L_R,None,Roland Sound Library L-CD1,1987,The Flinstones: The Treasure of Sierra Madrock,1994,SNES,Meet the Flinstones,Norihiro Furukawa & Kennosuke Suemura
N/A (Fretless Bass),None,Roland Sound Library L-CD1,1987,The Flinstones: The Treasure of Sierra Madrock,1994,SNES,"The Legend of the Treasure, Meet the Flintstones",Norihiro Furukawa & Kennosuke Suemura
N/A (Trumpet),None,Roland Sound Library L-CD1,1987,The Flinstones: The Treasure of Sierra Madrock,1994,SNES,Meet the Flinstones,Norihiro Furukawa & Kennosuke Suemura
Solo Sax,M01 22,Korg M1,1988,The Flinstones: The Treasure of Sierra Madrock,1994,SNES,Aboveground,Norihiro Furukawa & Kennosuke Suemura
0:04,None,The Beatles - Reprise,1967,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,"Dungeon Man ~ Megaton Walk, Dungeon Man ~ Enjoy the Dungeon",Hirokazu Tanaka
0:00,None,The Beatles - All You Need is Love,1967,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,The Lowest Region ~ Crossing Over Space-Time,Hirokazu Tanaka
0:02,None,TeeVee Tunes - The Little Rascals,1985,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Moonside ~ Borges' Cocktail,Hirokazu Tanaka
0:17,None,TeeVee Tunes - Monty Python's Flying Circus,1986,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,"Your Name, Please","Keiichi Suzuki, Hirokazu Tanaka, Hiroshi Kanazu, Toshiyuki Ueno, Kozue Ishikawa"
0:07,None,Ric Ocasek - Keep On Laughin',1986,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Moonside ~ Moonside Swing,Hirokazu Tanaka
Guitar 1,M01 04,Korg M1,1988,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Franky,"Keiichi Suzuki, Hirokazu Tanaka, Hiroshi Kanazu, Toshiyuki Ueno, Kozue Ishikawa"
Fretless,M01 06,Korg M1,1988,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Onett ~ Let's Start an Adventure!,Keiichi Suzuki
Vibes,M01 15,Korg M1,1988,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Fuzzy Pickles,Hirokazu Tanaka
Trombone,M02 12,Korg M1,1988,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Onett ~ Let's Start an Adventure!,Keiichi Suzuki
Organ 4,M02 31,Korg M1,1988,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Onett ~ Let's Start an Adventure!,Keiichi Suzuki
Acoustic Piano #1 - Ac Piano Lpf,None,Roland Sound Library L-CD1,1987,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,"Topolla Theatre, Home to the One & Only Venus, Venus' Performance","Keiichi Suzuki, Hirokazu Tanaka, Hiroshi Kanazu, Toshiyuki Ueno, Kozue Ishikawa"
20th Century Orchestra - Tune Up,None,Roland Sound Library L-CD1,1987,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,"Dungeon Man ~ Megaton Walk, Dungeon Man ~ Enjoy the Dungeon",Hirokazu Tanaka
20th Century Orchestra - Fantasia,None,Roland Sound Library L-CD1,1987,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Alien Invasion,"Keiichi Suzuki, Hirokazu Tanaka, Hiroshi Kanazu, Toshiyuki Ueno, Kozue Ishikawa"
Ethnic & Gongs #1 - WGong & Bata,None,Roland Sound Library L-CD1,1987,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,"Dalaam ~ The Far East, Dalaam ~ The Song Heard by Travellers",Keiichi Suzuki & Hirokazu Tanaka
Ethnic Grab Bag - Accordian,None,Roland Sound Library L-CD1,1987,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,"Saturn Valley ~ Hello, Dalaam ~ The Far East, Destination Scaraba","Keiichi Suzuki, Hirokazu Tanaka, Hiroshi Kanazu, Toshiyuki Ueno, Kozue Ishikawa"
Bag Pipe,110,Roland Sound Canvas,1991,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,"Scarabi ~ Bazaar, Scarabi ~ Pyramid","Keiichi Suzuki, Hirokazu Tanaka, Hiroshi Kanazu"
Thunder Bass,7,E-MU Proteus/1,1989,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Get on the Bus,"Keiichi Suzuki, Hirokazu Tanaka, Hiroshi Kanazu, Toshiyuki Ueno, Kozue Ishikawa"
Rock Drums,14,E-MU Proteus/1,1989,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Dusty Dunes Desert ~ Super Dry Dance,Hirokazu Tanaka
Wide Marimba,45,E-MU Proteus/1,1989,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Onett ~ Let's Start an Adventure!,Keiichi Suzuki
Pizz Basses,13,E-MU Proteus/2 XR,1990,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Battle Against a Weak Opponent,Hirokazu Tanaka
Flute,24,E-MU Proteus/2 XR,1990,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,The Continent at the Depths of the Earth ~ Love Song of the Earth,Keiichi Suzuki
Timpani,50,E-MU Proteus/2 XR,1990,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,"Saturn Valley ~ Hello, Haunts of Wicked Men ~ The Jungle's Awakening, The Monkeys' Maze","Keiichi Suzuki, Hirokazu Tanaka, Hiroshi Kanazu, Toshiyuki Ueno, Kozue Ishikawa"
Marimbala,70,E-MU Proteus/2 XR,1990,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Saturn Valley ~ Hello,Keiichi Suzuki
Gamelan,375,E-MU Proteus/2 XR,1990,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,"Gummi Village ~ Hey You, Listen",Hirokazu Tanaka & Keiichi Suzuki
Partition A - VOLUME 010 - QUICA TRK.9,None,East☆West ProSamples 2 Percussion and Bass,1991,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,"Gummi Village ~ Hey You, Listen",Hirokazu Tanaka & Keiichi Suzuki
Partition C - VOLUME 013 - MARACASTRK41,None,East☆West ProSamples 2 Percussion and Bass,1991,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Battle Against an Unsettling Opponent,Hirokazu Tanaka
"BELL, BICYCLE - RING 01",05-17-01,Sound Ideas Series 1000,1983,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Ness' Bike,Hirokazu Tanaka
"BIRD, SEAGULL - SURF, ANIMAL, WATER, OCEAN, SEASHORE, WAVES",06-21-01,Sound Ideas Series 1000,1983,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Summers ~ A Private Wind,Hiroshi Kanazu
"SLEIGH BELLS - SLOW SHAKES, PERCUSSION",20-52-01,Sound Ideas Series 1000,1983,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,"Winters ~ Snowman, Winters ~ Winters White",Keiichi Suzuki & Hirokazu Tanaka
Pizz,24,Yamaha TG-77,1989,Mother 2: Giygas Strikes Back/EarthBound,1994,SNES,Onett ~ Let's Start an Adventure!,Keiichi Suzuki
Pan Flute,RAM3: 32,Korg Wavestation,1990,Donkey Kong Country,1994,SNES,"Cranky's Theme, Gang-Plank Galleon, Voices of the Temple","David Wise, Eveline Fischer"
Solo Harp,ROM3: 33,Korg Wavestation,1990,Donkey Kong Country,1994,SNES,"Ice Cave Chant, Treetop Rock, Voices of the Temple, Simian Segue",Eveline Fischer
VOCAL SOUND - VOCAL EFFECT - SYS BONUS 2,None,Ensoniq CD-ROM Sound Library CDR-2,1993,Donkey Kong Country,1994,SNES,Funky's Fugue,Robin Beanland
