Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,,
French Horn,Sample 15,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,,
French Horn,Sample 16,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,,
63. Assault,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Trombone Ensemble,Sample 0,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Trombone Ensemble,Sample 1,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Trombone Ensemble,Sample 2,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Trombone Ensemble,Sample 3,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Trombone Ensemble,Sample 4,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Trombone Stacc,Sample 5,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1,,,,
Trombone Stacc,Sample 6,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1,,,,
Trombone Stacc,Sample 7,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 03 TB STAC 1,TB STACATO 1,,,,
Trumpet Ensemble,Sample 8,Best Service - Advanced Orchestra,CD 4 -> Parition A -> 01 TR LG FF,TR LONG FF,,,,
Trumpet Ensemble,Sample 9,Best Service - Advanced Orchestra,CD 4 -> Parition A -> 01 TR LG FF,TR LONG FF,,,,
Trumpet Ensemble,Sample 10,Best Service - Advanced Orchestra,CD 4 -> Parition A -> 01 TR LG FF,TR LONG FF,,,,
Trumpet Ensemble,Sample 11,Best Service - Advanced Orchestra,CD 4 -> Parition A -> 01 TR LG FF,TR LONG FF,,,,
Timpani,Sample 12,Best Service - Advanced Orchestra,,,,,,
Timpani,Sample 13,Best Service - Advanced Orchestra,,,,,,
Timpani,Sample 14,Best Service - Advanced Orchestra,,,,,,
Cymbal Crash,Sample 15,Best Service - Advanced Orchestra,CD 5 -> Partition A -> 01 CSY HITS,CSY SDFF [Left Channel Only],,,,
Hi Hat,Sample 16,Sampleheads - Peter Erskine - Living Drums,Partition B -> SD HATS,"SD HATS MENU [""STKLMP""; Left Channel Only]",,,,
Hi Hat,Sample 17,Sampleheads - Peter Erskine - Living Drums,Partition B -> SD HATS,"SD HATS MENU [""STKLMF""; Left Channel Only]",,,,
Hi Hat,Sample 18,Sampleheads - Peter Erskine - Living Drums,Partition B -> SD HATS,"SD HATS MENU [""STKLF""; Left Channel Only]",,,,
Kick,Sample 19,UNKNOWN,,,,,,
Tambourine,Sample 20,Spectrasonics - Supreme Beats,CD 1 -> PRC:SBTambourine,"PRC:-Tambourines [""PRC:-Char. Tam-L""]",,,,
Tambourine,Sample 21,Spectrasonics - Supreme Beats,CD 1 -> PRC:SBTambourine,"PRC:-Tambourines [""PRC:-DaoudTam3""; Left Channel Only]",,,,
Tambourine,Sample 22,Spectrasonics - Supreme Beats,CD 1 -> PRC:SBTambourine,"PRC:-Tambourines [""PRC:-Tambourn4""; Left Channel Only]",,,,
Bongo,Sample 23,UNKNOWN,,, ,,,
Bongo,Sample 24,UNKNOWN,,,,,,
Bass Drum,Sample 25,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 02 GC HITS,"GC FF 1 [""GC1FF""; Left Channel Only]",,,,
French Horn,Sample 26,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,,
French Horn,Sample 27,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,,
French Horn,Sample 28,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,,
String Staccato,Sample 29,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
String Staccato,Sample 30,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
String Staccato,Sample 31,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
String Staccato,Sample 32,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
String Staccato,Sample 33,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
String Staccato,Sample 34,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
String Staccato,Sample 35,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
String Staccato,Sample 36,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,"Disable Partials 1, 3, & 4",,,
Piano,Sample 37,Roland - JV-1080,PR-A,003 Classique,,,,
Piano,Sample 38,Roland - JV-1080,PR-A,003 Classique,,,,
Piano,Sample 39,Roland - JV-1080,PR-A,003 Classique,,,,
Piano,Sample 40,Roland - JV-1080,PR-A,003 Classique,,,,
Piano,Sample 41,Roland - JV-1080,PR-A,003 Classique,,,,
Piano,Sample 42,Roland - JV-1080,PR-A,003 Classique,,,,
Piano,Sample 43,Roland - JV-1080,PR-A,003 Classique,,,,
Piano,Sample 44,Roland - JV-1080,PR-A,003 Classique,,,,
Piano,Sample 45,Roland - JV-1080,PR-A,003 Classique,,,,
Piano,Sample 46,Roland - JV-1080,PR-A,003 Classique,,,,
Piano,Sample 47,Roland - JV-1080,PR-A,003 Classique,,,,
Piano,Sample 48,Roland - JV-1080,PR-A,003 Classique,,,,
String Staccato,Sample 49,Roland - SR-JV80-02 Orchestral,XP-X,043 Vivace Strs.,,,,
Slow String Ensemble,Sample 50,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 51,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 52,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 53,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 54,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 55,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 56,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Full Strings,Sample 57,Roland - SR-JV80-02 Orchestral,XP-X,039 Full Strings,,,,
Full Strings,Sample 58,Roland - SR-JV80-02 Orchestral,XP-X,039 Full Strings,,,,
Full Strings,Sample 59,Roland - SR-JV80-02 Orchestral,XP-X,039 Full Strings,,,,
Full Strings,Sample 60,Roland - SR-JV80-02 Orchestral,XP-X,039 Full Strings,,,,
Full Strings,Sample 61,Roland - SR-JV80-02 Orchestral,XP-X,039 Full Strings,,,,
Full Strings,Sample 62,Roland - SR-JV80-02 Orchestral,XP-X,039 Full Strings,,,,
Snare,Sample 63,Sampleheads - Peter Erskine - Living Drums,Partition B -> NOBLE+COOLEY,N+C SNR MENU,,,,
Slow String Ensemble,Sample 64,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 65,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 66,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 67,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 68,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 69,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 70,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 71,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 72,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Slow String Ensemble,Sample 73,Roland - SR-JV80-02 Orchestral,XP-X,004 VI Sect Mono,,,,
Tom,Sample 74,UNKNOWN,,,,,,
Tom ,Sample 75,UNKNOWN,,,,,,
Tom,Sample 76,UNKNOWN,,,,,,
64. Tragedy,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
String Ensemble,Sample 0,UNKNOWN,,,,,,
String Ensemble,Sample 1,UNKNOWN,,,,,,
String Ensemble,Sample 2,UNKNOWN,,,,,,
String Ensemble,Sample 3,UNKNOWN,,,,,,
String Ensemble,Sample 4,UNKNOWN,,,,,,
String Ensemble,Sample 5,UNKNOWN,,,,,,
String Ensemble,Sample 6,UNKNOWN,,,,,,
String Ensemble,Sample 7,UNKNOWN,,,,,,
String Ensemble,Sample 8,UNKNOWN,,,,,,
String Ensemble,Sample 9,UNKNOWN,,,,,,
Slow String Ensemble,Sample 10,UNKNOWN,,,,,,
Slow String Ensemble,Sample 11,UNKNOWN,,,,,,
Slow String Ensemble,Sample 12,UNKNOWN,,,,,,
French Horn,Sample 13,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,,
French Horn,Sample 14,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,,
French Horn,Sample 15,Best Service - Advanced Orchestra,CD 4 -> Partition F -> 01 FH LG FF,FH LONG FF,,,,
Timpani,Sample 16,UNKNOWN,,,,,,
Timpani,Sample 17,UNKNOWN,,,,,,
Slow String Ensemble,Sample 18,UNKNOWN,,,,,,
Slow String Ensemble,Sample 19,UNKNOWN,,,,,,
Tambourine,Sample 20,UNKNOWN,,,,,,
Tambourine,Sample 21,UNKNOWN,,,,,,
Flute,Sample 22,UNKNOWN,,,,,,
Flute,Sample 23,UNKNOWN,,,,,,
65. Believe,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Slow String Ensemble,Sample 0,UNKNOWN,,,,,,
Slow String Ensemble,Sample 1,UNKNOWN,,,,,,
Slow String Ensemble,Sample 2,UNKNOWN,,,,,,
Slow String Ensemble,Sample 3,UNKNOWN,,,,,,
Slow String Ensemble,Sample 4,UNKNOWN,,,,,,
Slow String Ensemble,Sample 5,UNKNOWN,,,,,,
Slow String Ensemble,Sample 6,UNKNOWN,,,,,,
Slow String Ensemble,Sample 7,UNKNOWN,,,,,,
Slow String Ensemble,Sample 8,UNKNOWN,,,,,,
Slow String Ensemble,Sample 9,UNKNOWN,,,,,,
Slow String Ensemble,Sample 10,UNKNOWN,,,,,,
Slow String Ensemble,Sample 11,UNKNOWN,,,,,,
Slow String Ensemble,Sample 12,UNKNOWN,,,,,,
Slow String Ensemble,Sample 13,UNKNOWN,,,,,,
Slow String Ensemble,Sample 14,UNKNOWN,,,,,,
Slow String Ensemble,Sample 15,UNKNOWN,,,,,,
Slow String Ensemble,Sample 16,UNKNOWN,,,,,,
Slow String Ensemble,Sample 17,UNKNOWN,,,,,,
Flute,Sample 18,UNKNOWN,,,,,,
Flute,Sample 19,UNKNOWN,,,,,,
Flute,Sample 20,UNKNOWN,,,,,,
Flute,Sample 21,UNKNOWN,,,,,,
Trumpet,Sample 22,UNKNOWN,,,,,,
Trumpet,Sample 23,UNKNOWN,,,,,,
Trumpet,Sample 24,UNKNOWN,,,,,,
Trumpet Staccato,Sample 25,UNKNOWN,,,,,,
Bass Drum,Sample 26,UNKNOWN,,,,,,
Cymbal Crash,Sample 27,UNKNOWN,,,,,,
French Horn,Sample 28,UNKNOWN,,,,,,
French Horn,Sample 29,UNKNOWN,,,,,,
French Horn,Sample 30,UNKNOWN,,,,,,
Trombone,Sample 31,UNKNOWN,,,,,,
Trombone,Sample 32,UNKNOWN,,,,,,
Timpani,Sample 33,UNKNOWN,,,,,,
66. Via Purifico,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Acoustic Piano,Sample 0,UNKNOWN,,,,,,
Acoustic Piano,Sample 1,UNKNOWN,,,,,,
Acoustic Piano,Sample 2,UNKNOWN,,,,,,
Acoustic Piano,Sample 3,UNKNOWN,,,,,,
Acoustic Piano,Sample 4,UNKNOWN,,,,,,
Acoustic Piano,Sample 5,UNKNOWN,,,,,,
Acoustic Piano,Sample 6,UNKNOWN,,,,,,
Acoustic Piano,Sample 7,UNKNOWN,,,,,,
Acoustic Piano,Sample 8,UNKNOWN,,,,,,
Acoustic Piano,Sample 9,UNKNOWN,,,,,,
Acoustic Piano,Sample 10,UNKNOWN,,,,,,
Acoustic Piano,Sample 11,UNKNOWN,,,,,,
Acoustic Piano,Sample 12,UNKNOWN,,,,,,
Acoustic Piano,Sample 13,UNKNOWN,,,,,,
Acoustic Piano,Sample 14,UNKNOWN,,,,,,
Acoustic Piano,Sample 15,UNKNOWN,,,,,,
Acoustic Piano,Sample 16,UNKNOWN,,,,,,
Acoustic Piano,Sample 17,UNKNOWN,,,,,,
67. Hymn - Bahamut,,,,,,,,
,Sample 0,,,,,,,
68. Moment of Truth,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
String Ensemble,Sample 0,UNKNOWN,,,,,,
String Ensemble,Sample 1,UNKNOWN,,,,,,
String Ensemble,Sample 2,UNKNOWN,,,,,,
String Ensemble,Sample 3,UNKNOWN,,,,,,
String Ensemble,Sample 4,UNKNOWN,,,,,,
String Ensemble,Sample 5,UNKNOWN,,,,,,
String Ensemble,Sample 6,UNKNOWN,,,,,,
Slow String Ensemble,Sample 7,UNKNOWN,,,,,,
Slow String Ensemble,Sample 8,UNKNOWN,,,,,,
Slow String Ensemble,Sample 9,UNKNOWN,,,,,,
Timpani,Sample 10,UNKNOWN,,,,,,
Timpani,Sample 11,UNKNOWN,,,,,,
Ride Cymbal,Sample 12,UNKNOWN,,,,,,
Snare Roll,Sample 13,UNKNOWN,,,,,,
Snare,Sample 14,UNKNOWN,,,,,,
Snare,Sample 15,UNKNOWN,,,,,,
Snare,Sample 16,UNKNOWN,,,,,,
Spiccato Strings,Sample 17,UNKNOWN,,,,,,
Spiccato Strings,Sample 18,UNKNOWN,,,,,,
Spiccato Strings,Sample 19,UNKNOWN,,,,,,
Spiccato Strings,Sample 20,UNKNOWN,,,,,,
Spiccato Strings,Sample 21,UNKNOWN,,,,,,
Spiccato Strings,Sample 22,UNKNOWN,,,,,,
Spiccato Strings,Sample 23,UNKNOWN,,,,,,
Spiccato Strings,Sample 24,UNKNOWN,,,,,,
Brass Boom,Sample 25,UNKNOWN,,,,,,
Brass Boom,Sample 26,UNKNOWN,,,,,,
Spiccato Strings,Sample 27,UNKNOWN,,,,,,
Spiccato Strings,Sample 28,UNKNOWN,,,,,,
Spiccato Strings,Sample 29,UNKNOWN,,,,,,
Spiccato Strings,Sample 30,UNKNOWN,,,,,,
Tubular Bell,Sample 31,UNKNOWN,,,,,,
French Horn,Sample 32,Roland - SR-JV80-02 Orchestral,XP-X,131 F.Hrn Sect4,,,,
Piano,Sample 33,UNKNOWN,,,,,,
Piano,Sample 34,UNKNOWN,,,,,,
Piano,Sample 35,UNKNOWN,,,,,,
Piano,Sample 36,UNKNOWN,,,,,,
69. Patricide,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Synth Voice,Sample 0,UNKNOWN,,,,,,
Synth Voice,Sample 1,UNKNOWN,,,,,,
Synth Voice,Sample 2,UNKNOWN,,,,,,
Nylon Guitar,Sample 3,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRSFT1,,,,
Nylon Guitar,Sample 4,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRSFT1,,,,
Celesta,Sample 5,UNKNOWN,,,,,,
Celesta,Sample 6,UNKNOWN,,,,,,
Harpsichord,Sample 7,UNKNOWN,,,,,,
Harpsichord,Sample 8,UNKNOWN,,,,,,
Harpsichord,Sample 9,UNKNOWN,,,,,,
Harpsichord,Sample 10,UNKNOWN,,,,,,
Harpsichord,Sample 11,UNKNOWN,,,,,,
Harpsichord,Sample 12,UNKNOWN,,,,,,
Harpsichord,Sample 13,UNKNOWN,,,,,,
Harpsichord,Sample 14,UNKNOWN,,,,,,
Harpsichord,Sample 15,UNKNOWN,,,,,,
Harpsichord,Sample 16,UNKNOWN,,,,,,
Fingered Bass,Sample 17,UNKNOWN,,,,,,
Fingered Bass,Sample 18,UNKNOWN,,,,,,
70. Suteki Da Ne (Isn't It Wonderful?),,,,,,,,
(Arranged by Shiro Hamaguchi),,,,,,,,
,,,,,,,,
71. Yuna's Decision,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Analog Chime,Sample 0,UNKNOWN,,,,,,
Analog Chime,Sample 0,UNKNOWN,,,,,,
Analog Chime,Sample 1,UNKNOWN,,,,,,
Analog Chime,Sample 2,UNKNOWN,,,,,,
Analog Chime,Sample 3,UNKNOWN,,,,,,
Fantasia Pad,Sample 4,UNKNOWN,,,,,,
Fantasia Pad,Sample 5,UNKNOWN,,,,,,
Fantasia Pad,Sample 6,UNKNOWN,,,,,,
Fantasia Pad,Sample 7,UNKNOWN,,,,,,
Fantasia Pad,Sample 8,UNKNOWN,,,,,,
Fantasia Pad,Sample 9,UNKNOWN,,,,,,
Synth Pad,Sample 10,UNKNOWN,,,,,,
Synth Pad,Sample 11,UNKNOWN,,,,,,
Synth Pad,Sample 12,UNKNOWN,,,,,,
Synth Pad,Sample 13,UNKNOWN,,,,,,
Synth Pad,Sample 14,UNKNOWN,,,,,,
Synth Pad,Sample 15,UNKNOWN,,,,,,
Synth Pad,Sample 16,UNKNOWN,,,,,,
Synth Pad,Sample 17,UNKNOWN,,,,,,
Synth Pad,Sample 18,UNKNOWN,,,,,,
Synth Pad,Sample 19,UNKNOWN,,,,,,
Flute,Sample 20,UNKNOWN,,,,,,
Flute,Sample 21,UNKNOWN,,,,,,
Flute,Sample 22,UNKNOWN,,,,,,
Oboe,Sample 23,UNKNOWN,,,,,,
Clarinet,Sample 24,UNKNOWN,,,,,,
English Horn,Sample 25,UNKNOWN,,,,,,
English Horn,Sample 26,UNKNOWN,,,,,,
72. Lulu's Theme,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
English Horn,Sample 0,,,,,,,
English Horn,Sample 1,,,,,,,
English Horn,Sample 2,,,,,,,
English Horn,Sample 3,,,,,,,
Mellotron Flute,Sample 4,,,,,,,
Mellotron Flute,Sample 5,,,,,,,
Mellotron Flute,Sample 6,,,,,,,
Mellotron Flute,Sample 7,,,,,,,
Mellotron Strings,Sample 8,,,,,,,
Mellotron Strings,Sample 9,,,,,,,
Mellotron Strings,Sample 10,,,,,,,
Mellotron Strings,Sample 11,,,,,,,
Harp,Sample 12,,,,,,,
Harp,Sample 13,,,,,,,
Harp,Sample 14,,,,,,,
Pizzicato Strings,Sample 15,Kurzweil - Orchestral ROM,Programs -> Section Strings,957 Pizzicato String,,,,
Pizzicato Strings,Sample 16,Kurzweil - Orchestral ROM,Programs -> Section Strings,957 Pizzicato String,,,,
Pizzicato Strings,Sample 17,Kurzweil - Orchestral ROM,Programs -> Section Strings,957 Pizzicato String,,,,
Piano,Sample 18,,,,,,,
Piano,Sample 19,,,,,,,
Piano,Sample 20,,,,,,,
Piano,Sample 21,,,,,,,
Choir,Sample 22,,,,,,,
Choir,Sample 23,,,,,,,
Choir,Sample 24,,,,,,,
Choir,Sample 25,,,,,,,
Choir,Sample 26,,,,,,,
Picked Bass,Sample 27,,,,,,,
Picked Bass,Sample 28,,,,,,,
73. Bravely Forward,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Finger Bass,Sample 0,,,,,,,
French Horn,Sample 1,,,,,,,
French Horn,Sample 2,,,,,,,
French Horn,Sample 3,,,,,,,
Organ,Sample 4,,,,,,,
Organ,Sample 5,,,,,,,
Organ,Sample 6,,,,,,,
Organ,Sample 7,,,,,,,
Kick,Sample 8,,,,,,,
Kick,Sample 9,,,,,,,
Snare,Sample 10,,,,,,,
Hi Hat,Sample 11,,,,,,,
Snare,Sample 12,,,,,,,
Hi Hat,Sample 13,,,,,,,
Snare,Sample 14,,,,,,,
Cymbal Crash,Sample 15,,,,,,,
Cymbal Crash,Sample 16,,,,,,,
Gun Shot,Sample 17,,,,,,,
String Ensemble,Sample 18,,,,,,,
String Ensemble,Sample 19,,,,,,,
String Ensemble,Sample 20,,,,,,,
String Ensemble,Sample 21,,,,,,,
String Ensemble,Sample 22,,,,,,,
String Ensemble,Sample 23,,,,,,,
String Ensemble,Sample 24,,,,,,,
Trumpet,Sample 25,,,,,,,
Whistle,Sample 26,,,,,,,
Whistle,Sample 27,,,,,,,
74. Hymn - Yojimbo,,,,,,,,
,Sample 0,,,,,,,
75. Servants of the Mountain,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Piano,Sample 0,UNKNOWN,,,,,,
Piano,Sample 1,UNKNOWN,,,,,,
Piano,Sample 2,UNKNOWN,,,,,,
Piano,Sample 3,UNKNOWN,,,,,,
Staccato Strings,Sample 4,UNKNOWN,,,,,,
Djembe,Sample 5,UNKNOWN,,,,,,
Djembe Rim,Sample 6,UNKNOWN,,,,,,
Whip,Sample 7,UNKNOWN,,,,,,
Tom,Sample 8,UNKNOWN,,,,,,
Tom,Sample 9,UNKNOWN,,,,,,
Tom,Sample 10,UNKNOWN,,,,,,
Tom,Sample 11,UNKNOWN,,,,,,
Tom,Sample 12,UNKNOWN,,,,,,
Staccato Strings,Sample 13,UNKNOWN,,,,,,
Staccato Strings,Sample 14,UNKNOWN,,,,,,
Staccato Strings,Sample 15,UNKNOWN,,,,,,
Staccato Strings,Sample 16,UNKNOWN,,,,,,
Bagpipes,Sample 17,UNKNOWN,,,,,,
Bagpipes,Sample 18,UNKNOWN,,,,,,
Marimba,Sample 19,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,,
Marimba,Sample 20,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,,
Marimba,Sample 21,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,,
String Ensemble,Sample 22,UNKNOWN,,,,,,
String Ensemble,Sample 23,UNKNOWN,,,,,,
String Ensemble,Sample 24,UNKNOWN,,,,,,
Solo Violin,Sample 25,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 015 Violin,Violin,,,,
Solo Violin,Sample 26,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 015 Violin,Violin,,,,
Solo Violin,Sample 27,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 015 Violin,Violin,,,,
Solo Violin,Sample 28,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 015 Violin,Violin,,,,
Solo Violin,Sample 29,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 015 Violin,Violin,,,,
Solo Violin,Sample 30,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 015 Violin,Violin,,,,
Solo Violin,Sample 31,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 015 Violin,Violin,,,,
Solo Violin,Sample 32,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 015 Violin,Violin,,,,
Slow String Ensemble,Sample 33,UNKNOWN,,,,,,
Slow String Ensemble,Sample 34,UNKNOWN,,,,,,
Slow String Ensemble,Sample 35,UNKNOWN,,,,,,
Slow String Ensemble,Sample 36,UNKNOWN,,,,,,
Slow String Ensemble,Sample 37,UNKNOWN,,,,,,
76. Hymn - Ronso,,,,,,,,
,Sample 0,,,,,,,
77. Wandering,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Clarinet Crescendo,Sample 0,,,,,,,
Clarinet Crescendo,Sample 1,,,,,,,
Clarinet Crescendo,Sample 2,,,,,,,
Clarinet Grace,Sample 3,,,,,,,
Clarinet Grace,Sample 4,,,,,,,
Clarinet Grace,Sample 5,,,,,,,
Clarinet,Sample 6,,,,,,,
Clarinet,Sample 7,,,,,,,
Clarinet,Sample 8,,,,,,,
Clarinet,Sample 9,,,,,,,
Clarinet,Sample 10,,,,,,,
Clarinet,Sample 11,,,,,,,
Clarinet,Sample 12,,,,,,,
Clarinet,Sample 13,,,,,,,
Clarinet Staccato,Sample 14,,,,,,,
Clarinet Staccato,Sample 15,,,,,,,
Clarinet Staccato,Sample 16,,,,,,,
Clarinet Staccato,Sample 17,,,,,,,
Guiro(?),Sample 18,,,,,,,
Flute,Sample 19,Miroslav Vitous - Solo Instruments II 2.0,,,,,,
Flute,Sample 20,Miroslav Vitous - Solo Instruments II 2.0,,,,,,
Synth Pad,Sample 21,,,,,,,
Synth Pad,Sample 22,,,,,,,
Synth Pad,Sample 23,,,,,,,
Synth Pad,Sample 24,,,,,,,
Synth Pad,Sample 25,,,,,,,
Synth Pad,Sample 26,,,,,,,
Distortion FX,Sample 27,,,,,,,
Distortion FX,Sample 28,,,,,,,
78. A Fleeting Dream,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Oboe,Sample 0,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 005 Oboe,Oboe 1x,,,,
Oboe,Sample 1,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 005 Oboe,Oboe 1x,,,,
Oboe,Sample 2,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 005 Oboe,Oboe 1x,,,,
Oboe,Sample 3,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 005 Oboe,Oboe 1x,,,,
Flute,Sample 4,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 002 Flute,Flute,,,,
Flute,Sample 5,Miroslav Vitous - Solo Instruments II 2.0,CHECK,CHECK,,,,
Flute,Sample 6,Miroslav Vitous - Solo Instruments II 2.0,Solo Inst. II -> 002 Flute,Flute,,,,
String Ensemble,Sample 7,,,,,,,
String Ensemble,Sample 8,,,,,,,
String Ensemble,Sample 9,,,,,,,
String Ensemble,Sample 10,,,,,,,
String Ensemble,Sample 11,,,,,,,
String Ensemble,Sample 12,,,,,,,
String Ensemble,Sample 13,,,,,,,
String Ensemble,Sample 14,,,,,,,
String Ensemble,Sample 15,,,,,,,
Percussion Hit,Sample 16,,,,,,,
Percussion Hit,Sample 17,,,,,,,
Synth Hit,Sample 18,Spectrasonics - Distorted Reality 2,CD 2 -> Partition D -> 01 LO-TEK 1,LO-TEK-BITS1 [G1],,,,
Piano,Sample 19,Roland - JV-1080,PR-A,005 Piano Thang,,,,
Piano,Sample 20,Roland - JV-1080,PR-A,005 Piano Thang,,,,
Piano,Sample 21,Roland - JV-1080,PR-A,005 Piano Thang,,,,
Piano,Sample 22,Roland - JV-1080,PR-A,005 Piano Thang,,,,
Piano,Sample 23,Roland - JV-1080,PR-A,005 Piano Thang,,,,
Cymbal Crash,Sample 24,,,,,,,
Timpani,Sample 25,,,,,,,
Timpani,Sample 26,,,,,,,
French Horn,Sample 27,Roland - SR-JV80-02 Orchestral,XP-X,131 F.Hrn Sect4,,,,
French Horn,Sample 28,Roland - SR-JV80-02 Orchestral,XP-X,131 F.Hrn Sect4,,,,
79. Hymn - Yunalesca,,,,,,,,
,Sample 0,,,,,,,
80. Challenge,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
